0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:41:47 -0500] "GET /HulkStore/images/speed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:35 -0500] "GET /HulkStore/ HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:35 -0500] "GET /HulkStore/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:35 -0500] "GET /HulkStore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/css/icon-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /HulkStore/images/icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:36 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/bootstrap.min.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/dashboard.jsp HTTP/1.1" 200 57277
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/style.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/font-awesome.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/icon-font.min.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/barChart.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/fabochart.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/css/vroom.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/jquery-1.10.2.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/amcharts.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/radar.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/serial.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/skycons.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/css3clock.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/protovis-d3.2.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/jquery.easydropdown.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/vix.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/fabochart.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/Chart.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/vroom.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/light.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/TweenLite.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/CSSPlugin.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/jquery.nicescroll.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/scripts.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/js/bootstrap.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/1.jpg HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/in.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/cross.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/in1.jpg HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/in8.jpg HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/in5.jpg HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/time.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/timer.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/alarm.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/watch.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:43 -0500] "GET /HulkStore/jsp/images/admin.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:47 -0500] "GET /HulkStore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:47 -0500] "GET /HulkStore/ HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:48 -0500] "GET /HulkStore/images/icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:54 -0500] "POST /HulkStore/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:42:54 -0500] "GET /HulkStore/index.jsp HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:42 -0500] "POST /HulkStore/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:42 -0500] "GET /HulkStore/index.jsp HTTP/1.1" 200 57298
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/js/amcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/js/serial.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/css/barChart.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/css/fabochart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/js/light.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/js/radar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:10:44:43 -0500] "GET /HulkStore/js/css3clock.js HTTP/1.1" 304 -
